python_name,Type,acid_dehydration_Y0,acid_dehydration_Y1,acid_dehydration_Y2,acid_dehydration_Y3,acid_dehydration_Y4,acid_dehydration_Y5,acid_dehydration_Y6,acid_dehydration_Y7,acid_dehydration_Y8,acid_dehydration_Y9,acid_dehydration_Y10,acid_dehydration_Y11,acid_dehydration_Y12,acid_dehydration_Y13,acid_dehydration_Y14,acid_dehydration_Y15,acid_dehydration_Y16,acid_dehydration_Y17,acid_dehydration_Y18,acid_dehydration_Y19,acid_dehydration_Y20,acid_dehydration_Y21,acid_dehydration_Y22,acid_dehydration_Y23,acid_dehydration_Y24,acid_dehydration_Y25,acid_dehydration_Y26,acid_dehydration_Y27,acid_dehydration_Y28,acid_dehydration_Y29
downhole_pump_option,str,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on
dehydrator_option,str,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on
agr_option,str,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off
waste_gas_treatment,str,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation
onsite_generation_waste_gas_reinjection,int,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
waste_water_option,str,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge
downhole_pump,int,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
water_reinjection,int,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
natural_gas_reinjection,int,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
water_flooding,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_lifting,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_flooding,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
steam_flooding,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
country,str,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA
name,str,acid_dehydration_Y1,acid_dehydration_Y2,acid_dehydration_Y3,acid_dehydration_Y4,acid_dehydration_Y5,acid_dehydration_Y6,acid_dehydration_Y7,acid_dehydration_Y8,acid_dehydration_Y9,acid_dehydration_Y10,acid_dehydration_Y11,acid_dehydration_Y12,acid_dehydration_Y13,acid_dehydration_Y14,acid_dehydration_Y15,acid_dehydration_Y16,acid_dehydration_Y17,acid_dehydration_Y18,acid_dehydration_Y19,acid_dehydration_Y20,acid_dehydration_Y21,acid_dehydration_Y22,acid_dehydration_Y23,acid_dehydration_Y24,acid_dehydration_Y25,acid_dehydration_Y26,acid_dehydration_Y27,acid_dehydration_Y28,acid_dehydration_Y29,acid_dehydration_Y30
age,int,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
depth,float,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
oil_prod,float,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
num_prod_wells,int,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
num_water_inj_wells,int,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
res_press,float,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
offshore,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_comp_N2,float,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003
gas_comp_CO2,float,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
gas_comp_C1,float,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
gas_comp_C2,float,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_comp_C3,float,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_comp_C4,float,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_comp_H2S,float,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
gas_comp_H2,float,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
