python_name,Type,acid_rich_pressure_high_Y0,acid_rich_pressure_high_Y1,acid_rich_pressure_high_Y2,acid_rich_pressure_high_Y3,acid_rich_pressure_high_Y4,acid_rich_pressure_high_Y5,acid_rich_pressure_high_Y6,acid_rich_pressure_high_Y7,acid_rich_pressure_high_Y8,acid_rich_pressure_high_Y9,acid_rich_pressure_high_Y10,acid_rich_pressure_high_Y11,acid_rich_pressure_high_Y12,acid_rich_pressure_high_Y13,acid_rich_pressure_high_Y14,acid_rich_pressure_high_Y15,acid_rich_pressure_high_Y16,acid_rich_pressure_high_Y17,acid_rich_pressure_high_Y18,acid_rich_pressure_high_Y19,acid_rich_pressure_high_Y20,acid_rich_pressure_high_Y21,acid_rich_pressure_high_Y22,acid_rich_pressure_high_Y23,acid_rich_pressure_high_Y24,acid_rich_pressure_high_Y25,acid_rich_pressure_high_Y26,acid_rich_pressure_high_Y27,acid_rich_pressure_high_Y28,acid_rich_pressure_high_Y29
downhole_pump_option,str,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off
dehydrator_option,str,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on
agr_option,str,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off
waste_gas_treatment,str,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation
onsite_generation_waste_gas_reinjection,int,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
waste_water_option,str,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge
downhole_pump,int,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
water_reinjection,int,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
natural_gas_reinjection,int,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
water_flooding,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_lifting,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_flooding,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
steam_flooding,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
country,str,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA
name,str,acid_rich_pressure_high_Y1,acid_rich_pressure_high_Y2,acid_rich_pressure_high_Y3,acid_rich_pressure_high_Y4,acid_rich_pressure_high_Y5,acid_rich_pressure_high_Y6,acid_rich_pressure_high_Y7,acid_rich_pressure_high_Y8,acid_rich_pressure_high_Y9,acid_rich_pressure_high_Y10,acid_rich_pressure_high_Y11,acid_rich_pressure_high_Y12,acid_rich_pressure_high_Y13,acid_rich_pressure_high_Y14,acid_rich_pressure_high_Y15,acid_rich_pressure_high_Y16,acid_rich_pressure_high_Y17,acid_rich_pressure_high_Y18,acid_rich_pressure_high_Y19,acid_rich_pressure_high_Y20,acid_rich_pressure_high_Y21,acid_rich_pressure_high_Y22,acid_rich_pressure_high_Y23,acid_rich_pressure_high_Y24,acid_rich_pressure_high_Y25,acid_rich_pressure_high_Y26,acid_rich_pressure_high_Y27,acid_rich_pressure_high_Y28,acid_rich_pressure_high_Y29,acid_rich_pressure_high_Y30
age,int,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
depth,float,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
