python_name,Type,base_10_CO2_20_CH4_high_water_Y0,base_10_CO2_20_CH4_high_water_Y1,base_10_CO2_20_CH4_high_water_Y2,base_10_CO2_20_CH4_high_water_Y3,base_10_CO2_20_CH4_high_water_Y4,base_10_CO2_20_CH4_high_water_Y5,base_10_CO2_20_CH4_high_water_Y6,base_10_CO2_20_CH4_high_water_Y7,base_10_CO2_20_CH4_high_water_Y8,base_10_CO2_20_CH4_high_water_Y9,base_10_CO2_20_CH4_high_water_Y10,base_10_CO2_20_CH4_high_water_Y11,base_10_CO2_20_CH4_high_water_Y12,base_10_CO2_20_CH4_high_water_Y13,base_10_CO2_20_CH4_high_water_Y14,base_10_CO2_20_CH4_high_water_Y15,base_10_CO2_20_CH4_high_water_Y16,base_10_CO2_20_CH4_high_water_Y17,base_10_CO2_20_CH4_high_water_Y18,base_10_CO2_20_CH4_high_water_Y19,base_10_CO2_20_CH4_high_water_Y20,base_10_CO2_20_CH4_high_water_Y21,base_10_CO2_20_CH4_high_water_Y22,base_10_CO2_20_CH4_high_water_Y23,base_10_CO2_20_CH4_high_water_Y24,base_10_CO2_20_CH4_high_water_Y25,base_10_CO2_20_CH4_high_water_Y26,base_10_CO2_20_CH4_high_water_Y27,base_10_CO2_20_CH4_high_water_Y28,base_10_CO2_20_CH4_high_water_Y29
downhole_pump_option,str,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on
dehydrator_option,str,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on
agr_option,str,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off
waste_gas_treatment,str,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation
onsite_generation_waste_gas_reinjection,int,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
waste_water_option,str,subsurface_discharge,subsurface_discharge,subsurface_discharge,subsurface_discharge,subsurface_discharge,subsurface_discharge,subsurface_discharge,subsurface_discharge,subsurface_discharge,subsurface_discharge,subsurface_discharge,subsurface_discharge,subsurface_discharge,subsurface_discharge,subsurface_discharge,subsurface_discharge,subsurface_discharge,subsurface_discharge,subsurface_discharge,subsurface_discharge,subsurface_discharge,subsurface_discharge,subsurface_discharge,subsurface_discharge,subsurface_discharge,subsurface_discharge,subsurface_discharge,subsurface_discharge,subsurface_discharge,subsurface_discharge
downhole_pump,int,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
water_reinjection,int,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
natural_gas_reinjection,int,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
water_flooding,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_lifting,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_flooding,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
steam_flooding,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
country,str,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA
name,str,base_10_CO2_20_CH4_high_water_Y1,base_10_CO2_20_CH4_high_water_Y2,base_10_CO2_20_CH4_high_water_Y3,base_10_CO2_20_CH4_high_water_Y4,base_10_CO2_20_CH4_high_water_Y5,base_10_CO2_20_CH4_high_water_Y6,base_10_CO2_20_CH4_high_water_Y7,base_10_CO2_20_CH4_high_water_Y8,base_10_CO2_20_CH4_high_water_Y9,base_10_CO2_20_CH4_high_water_Y10,base_10_CO2_20_CH4_high_water_Y11,base_10_CO2_20_CH4_high_water_Y12,base_10_CO2_20_CH4_high_water_Y13,base_10_CO2_20_CH4_high_water_Y14,base_10_CO2_20_CH4_high_water_Y15,base_10_CO2_20_CH4_high_water_Y16,base_10_CO2_20_CH4_high_water_Y17,base_10_CO2_20_CH4_high_water_Y18,base_10_CO2_20_CH4_high_water_Y19,base_10_CO2_20_CH4_high_water_Y20,base_10_CO2_20_CH4_high_water_Y21,base_10_CO2_20_CH4_high_water_Y22,base_10_CO2_20_CH4_high_water_Y23,base_10_CO2_20_CH4_high_water_Y24,base_10_CO2_20_CH4_high_water_Y25,base_10_CO2_20_CH4_high_water_Y26,base_10_CO2_20_CH4_high_water_Y27,base_10_CO2_20_CH4_high_water_Y28,base_10_CO2_20_CH4_high_water_Y29,base_10_CO2_20_CH4_high_water_Y30
age,int,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
depth,float,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
oil_prod,float,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
num_prod_wells,int,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
num_water_inj_wells,int,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
res_press,float,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0
offshore,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
