process,Field 165,Field 166
AcidGasRemoval,86031.31586480065,144554.9201800501
After,0.0,0.0
CrudeOilDewatering,29066.086605305893,0.0
CrudeOilStabilization,70662.46738367743,2076.6253801433786
CrudeOilStorage,0.0,0.0
CrudeOilTransport,0.0,0.0
Demethanizer,67417.59859317876,35123.89927281893
DistributionBoundary,0.0,0.0
DownholePump,5238.55962151889,0.0
Drilling,0.20758194418079234,0.3724119978080218
Exploration,0.17473701282497892,0.21331105720639268
Flaring,0.0,0.0
GasDehydration,4317.509954363084,3094.4317421860565
GasDistribution,0.0,0.0
GasGathering,0.0,0.0
GasLiftingCompressor,0.0,0.0
GasPartition,0.0,0.0
GasReinjectionCompressor,0.0,90088.71261968245
GasReinjectionWell,0.0,0.0
LNGLiquefaction,0.0,0.0
LNGRegasification,0.0,0.0
LNGTransport,0.0,0.0
NGL,0.0,0.0
PetrocokeTransport,0.0,0.0
PostStorageCompressor,0.0,0.0
ProductionBoundary,0.0,0.0
Reservoir,0.0,0.0
ReservoirWellInterface,0.0,0.0
Separation,1046.689502331836,26.504792910809023
StorageCompressor,0.0,0.0
StorageSeparator,0.0,0.0
StorageWell,0.0,0.0
TransmissionCompressor,0.0,0.0
TransportationBoundary,0.0,0.0
VFPartition,0.0,0.0
VRUCompressor,320.7994006550978,8.10637035206084
Venting,0.0,0.0
WaterInjection,,38.814849081360094
WaterTreatment,0.0,918.4885083476977
