python_name,Type,koloma_simple_CH4_Y0,koloma_simple_CH4_Y1,koloma_simple_CH4_Y2,koloma_simple_CH4_Y3,koloma_simple_CH4_Y4,koloma_simple_CH4_Y5,koloma_simple_CH4_Y6,koloma_simple_CH4_Y7,koloma_simple_CH4_Y8,koloma_simple_CH4_Y9,koloma_simple_CH4_Y10,koloma_simple_CH4_Y11,koloma_simple_CH4_Y12,koloma_simple_CH4_Y13,koloma_simple_CH4_Y14,koloma_simple_CH4_Y15,koloma_simple_CH4_Y16,koloma_simple_CH4_Y17,koloma_simple_CH4_Y18,koloma_simple_CH4_Y19,koloma_simple_CH4_Y20,koloma_simple_CH4_Y21,koloma_simple_CH4_Y22,koloma_simple_CH4_Y23,koloma_simple_CH4_Y24,koloma_simple_CH4_Y25,koloma_simple_CH4_Y26,koloma_simple_CH4_Y27,koloma_simple_CH4_Y28,koloma_simple_CH4_Y29
downhole_pump_option,str,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off,downhole_pump_off
dehydrator_option,str,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off
agr_option,str,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off
waste_gas_treatment,str,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation
onsite_generation_waste_gas_reinjection,int,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
downhole_pump,int,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
water_reinjection,int,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
natural_gas_reinjection,int,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
water_flooding,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_lifting,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
