python_name,Type,koloma_simple_acid_gas_high_production_Y0,koloma_simple_acid_gas_high_production_Y1,koloma_simple_acid_gas_high_production_Y2,koloma_simple_acid_gas_high_production_Y3,koloma_simple_acid_gas_high_production_Y4,koloma_simple_acid_gas_high_production_Y5,koloma_simple_acid_gas_high_production_Y6,koloma_simple_acid_gas_high_production_Y7,koloma_simple_acid_gas_high_production_Y8,koloma_simple_acid_gas_high_production_Y9,koloma_simple_acid_gas_high_production_Y10,koloma_simple_acid_gas_high_production_Y11,koloma_simple_acid_gas_high_production_Y12,koloma_simple_acid_gas_high_production_Y13,koloma_simple_acid_gas_high_production_Y14,koloma_simple_acid_gas_high_production_Y15,koloma_simple_acid_gas_high_production_Y16,koloma_simple_acid_gas_high_production_Y17,koloma_simple_acid_gas_high_production_Y18,koloma_simple_acid_gas_high_production_Y19,koloma_simple_acid_gas_high_production_Y20,koloma_simple_acid_gas_high_production_Y21,koloma_simple_acid_gas_high_production_Y22,koloma_simple_acid_gas_high_production_Y23,koloma_simple_acid_gas_high_production_Y24,koloma_simple_acid_gas_high_production_Y25,koloma_simple_acid_gas_high_production_Y26,koloma_simple_acid_gas_high_production_Y27,koloma_simple_acid_gas_high_production_Y28,koloma_simple_acid_gas_high_production_Y29
downhole_pump_option,str,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on
dehydrator_option,str,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on,dehydrator_on
agr_option,str,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off
waste_gas_treatment,str,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation
onsite_generation_waste_gas_reinjection,int,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
downhole_pump,int,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
water_reinjection,int,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
natural_gas_reinjection,int,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
water_flooding,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_lifting,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_flooding,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
steam_flooding,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
country,str,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA
name,str,koloma_simple_acid_gas_high_production_Y1,koloma_simple_acid_gas_high_production_Y2,koloma_simple_acid_gas_high_production_Y3,koloma_simple_acid_gas_high_production_Y4,koloma_simple_acid_gas_high_production_Y5,koloma_simple_acid_gas_high_production_Y6,koloma_simple_acid_gas_high_production_Y7,koloma_simple_acid_gas_high_production_Y8,koloma_simple_acid_gas_high_production_Y9,koloma_simple_acid_gas_high_production_Y10,koloma_simple_acid_gas_high_production_Y11,koloma_simple_acid_gas_high_production_Y12,koloma_simple_acid_gas_high_production_Y13,koloma_simple_acid_gas_high_production_Y14,koloma_simple_acid_gas_high_production_Y15,koloma_simple_acid_gas_high_production_Y16,koloma_simple_acid_gas_high_production_Y17,koloma_simple_acid_gas_high_production_Y18,koloma_simple_acid_gas_high_production_Y19,koloma_simple_acid_gas_high_production_Y20,koloma_simple_acid_gas_high_production_Y21,koloma_simple_acid_gas_high_production_Y22,koloma_simple_acid_gas_high_production_Y23,koloma_simple_acid_gas_high_production_Y24,koloma_simple_acid_gas_high_production_Y25,koloma_simple_acid_gas_high_production_Y26,koloma_simple_acid_gas_high_production_Y27,koloma_simple_acid_gas_high_production_Y28,koloma_simple_acid_gas_high_production_Y29,koloma_simple_acid_gas_high_production_Y30
age,int,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
depth,float,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
oil_prod,float,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
num_prod_wells,int,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
num_water_inj_wells,int,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
offshore,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_comp_N2,float,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003
gas_comp_CO2,float,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
gas_comp_C1,float,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
gas_comp_C2,float,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_comp_C3,float,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_comp_C4,float,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
