python_name,Type,Field 0,Field 1,Field 2,Field 3,Field 21,Field 20,Field 6,Field 22,Field 8,Field 9,Field 10,Field 11,Field 12,Field 13,Field 14,Field 15,Field 16,Field 17,Field 18,Field 19,Field 3203,Field 3317,Field 1289,Field 2219
downhole_pump,int,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
water_reinjection,int,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
natural_gas_reinjection,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
water_flooding,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_lifting,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_flooding,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
steam_flooding,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
country,str,United States,Canada,United States,Turkmenistan,Indonesia,Netherlands,United States,Indonesia,Afghanistan,United States,Turkmenistan,Pakistan,Argentina,Papua New Guinea,Venezuela,Indonesia,Canada,United States,Syria,United States,Norway,Saudi Arabia,Saudi Arabia,Saudi Arabia
name,str,SS110,Ovintiv Horn River BC,Conventional Gas GFC TX (EOG Resources),Koyun,Kepodang,L/1-A,Bone Spring Red Bluff Hz Tight oil DEL TX (Coterra Energy),Corridor PSC,Jarquduk,MO823,South Iolotan,M.Indus Other OGDC Fields,Loma Negra Area,PNG LNG,Santa Rosa,Jambi Merang,Vermilion Montney AB,Lance Fort Union Tight gas WRV WY (ConocoPhillips),AFPC - Gas Utilisation,Cana Wet Gas Mississippian Shale gas ADK OK (Devon Energy),Ekofisk Area II,Ghawar (Oil),Ghawar (Gas),S Ghawar Unconventional
age,float,20,17,38,8,9,25,38,36,44,33,11,35,27,10,83,26,2,38,31,38,25,73,73,1
depth,float,11749.08174,5733.678005,8285,5249.344,5577.428,11811.024,8285,2531.16806,7749.34408,12750.91904,14107.612,5492.12616,9412.72996,8792.6512,5767.71672,8285,10647.41941,8285,8285,8285,9793.3074,10538.05808,10538.05808,7122
oil_prod,float,10,0.4,985.3,0.4,0.4,0.1,12808.6,5860,0.4,0.4,6900,0.4,1422.5,26820,0.4,4200,1504.5,0.4,0.4,3307.6,108633,3560930,121430,3790
num_prod_wells,int,2,8,12,1,5,1,147,67,34,4,79,1,6,307,162,48,3,1,1,38,1242,40697,385,44
well_diam,float,2.775,2.775,2.775,2.775,2.775,2.775,2.775,2.775,2.775,2.775,2.775,2.775,2.775,2.775,2.775,2.775,2.775,2.775,2.775,2.775,2.775,2.775,3.525,2.775
prod_index,float,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
res_press,float,2526.052574,1232.740771,1781.275,1128.60896,1199.14702,2539.37016,1781.275,544.2011329,1666.108977,2741.447594,3033.13658,1180.807124,2023.736941,1890.420008,1240.059095,1781.275,2289.195174,1781.275,1781.275,1781.275,2105.561091,2265.682487,2265.682487,1531.23
res_temp,float,281.4834713,173.2062041,219.13,164.488192,170.393704,282.598432,219.13,115.5610251,209.4881934,299.5165428,323.937016,168.8582709,239.4291393,228.2677216,173.818901,219.13,261.6535494,219.13,219.13,219.13,246.2795332,259.6850454,259.6850454,198.196
offshore,float,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
API,float,43.16,47,47,47,47,47,47,38,47,15,50,47,40,49.9,45.7,52,47,47,47,47,39.6,34,34,32.8
gas_comp_N2,float,2.86372284,2.86,2.86,2.852298793,2.865157283,2.761417399,2.86,2.663899688,2.718631179,2.863550803,2.538386438,1.874302461,2.86,2.86,2.86,2.619743338,2.86,2.86,2.86,2.86,2.819678596,2.818567064,2.818567064,2.687464762
gas_comp_CO2,float,0.200260338,0.33,0.33,0.398922908,0.150270487,3.76556918,0.33,7.162723288,5.190114068,0.200248308,7.100381646,34.68114904,0.33,0.33,0.33,8.701944656,0.33,0.33,0.33,0.33,1.735186828,1.744357938,1.744357938,2.114264236
gas_comp_C1,float,89.29608491,89.18,89.18,88.93986237,89.34081346,86.10601526,89.18,83.06523574,84.77186312,89.29072049,79.15150439,58.44415857,89.18,89.18,89.18,81.68836046,89.18,89.18,89.18,89.18,87.92270531,87.88804573,87.88804573,83.80003759
gas_comp_C2,float,5.306898969,5.3,5.3,5.285728533,5.309557203,5.117311963,5.3,4.936597325,5.038022814,5.306580159,4.70400284,3.473357708,5.3,5.3,5.3,4.854769124,5.3,5.3,5.3,5.3,5.225278517,5.223218685,5.223218685,4.980266867
gas_comp_C3,float,1.622108741,1.62,1.62,1.615637778,1.622921258,1.564159506,1.62,1.508922201,1.539923954,1.622011294,1.437827283,1.061667828,1.62,1.62,1.62,1.483910562,1.62,1.62,1.62,1.62,1.597160603,1.596530994,1.596530994,1.52227025
gas_comp_C4,float,0.710924201,0.71,0.71,0.708088162,0.711280305,0.685526697,0.71,0.661317755,0.674904943,0.710881493,0.630158871,0.465298863,0.71,0.71,0.71,0.650355864,0.71,0.71,0.71,0.71,0.699990141,0.699714201,0.699714201,0.667167826
gas_comp_H2S,float,0,0,0,0.199461454,0,0,0,0.001304007,0.066539924,0.006007449,4.437738528,6.55E-05,0,0,0,0.000915994,0,0,0,0,0,0.029565389,0.029565389,4.228528472
GOR,float,625152,66528000,11463.46493,84638400,38412000,13969824,14604.40716,126143.3447,22387200,21067200,289353.1826,58264800,18529.18102,45774.96197,373480800,24205.02857,15491.4329,125278296,26716800,23829.06857,971.056353,263.5307069,29056.56658,6372.221636
WOR,float,2.477235171,2.025808595,5.988459821,0.851127149,0.969472666,3.305739696,5.988459821,5.519354346,7.538766082,4.856594476,1.214857477,5.293111614,3.666000289,1.090692833,25.45365165,3.483708533,0.197715205,5.988459821,4.440535243,5.988459821,3.305739696,19.16458218,19.16458218,0.097671368
WIR,float,3.477235171,3.025808595,6.988459821,1.851127149,1.969472666,4.305739696,6.988459821,6.519354346,8.538766082,5.856594476,2.214857477,6.293111614,4.666000289,2.090692833,26.45365165,4.483708533,1.197715205,6.988459821,5.440535243,6.988459821,4.305739696,20.16458218,20.16458218,1.097671368
GLIR,float,363.8,363.8,363.8,363.8,363.8,363.8,363.8,363.8,363.8,363.8,363.8,363.8,363.8,363.8,363.8,363.8,363.8,363.8,363.8,363.8,363.8,363.8,363.8,363.8
GFIR,float,937728,99792000,17195.1974,126957600,57618000,20954736,21906.61075,189215.0171,33580800,31600800,434029.7739,87397200,27793.77153,68662.44295,560221200,36307.54286,23237.14935,187917444,40075200,35743.60285,1456.58453,395.2960603,43584.84987,9558.332454
