python_name,Type,normal_pressure_Y0,normal_pressure_Y1
downhole_pump_option,str,downhole_pump_off,downhole_pump_off
dehydrator_option,str,dehydrator_off,dehydrator_off
agr_option,str,agr_off,agr_off
waste_gas_treatment,str,onsite_electricity_generation,onsite_electricity_generation
onsite_generation_waste_gas_reinjection,int,1,1
waste_water_option,str,subsurface_discharge,subsurface_discharge
downhole_pump,int,1,1
water_reinjection,int,1,1
natural_gas_reinjection,int,1,1
water_flooding,int,0,0
gas_lifting,int,0,0
gas_flooding,int,0,0
steam_flooding,int,0,0
country,str,USA,USA
name,str,normal_pressure_Y1,normal_pressure_Y2
age,int,1,2
depth,float,10000,10000
oil_prod,float,0.1,0.1
num_prod_wells,int,8,8
num_water_inj_wells,int,1,1
res_press,float,4500.0,4500.0
offshore,int,0,0
gas_comp_N2,float,8,8
gas_comp_CO2,float,2,2
gas_comp_C1,float,10,10
gas_comp_C2,float,0,0
gas_comp_C3,float,0,0
gas_comp_C4,float,0,0
gas_comp_H2S,float,0,0
gas_comp_H2,float,80,80
GOR,float,120403749.09877433,108363374.18889691
WOR,float,51764.131502307704,46587.71835207694
fraction_elec_onsite,float,1.0,1.0
fraction_remaining_gas_inj,float,1.0,1.0
fraction_water_reinjected,float,1,1
frac_venting,float,1,1
PsaPreCompressor.suction_pressure,float,64.7,64.7
PsaPreCompressor.discharge_pressure,float,464.7,464.7
PsaPreCompressor.prime_mover_type,str,Electric_motor,Electric_motor
PressureSwingAdsorption.flaring,int,0,0
slip_rate,float,0.1,0.1
PSA_waste_gas_P,float,15.7,15.7
PSA_waste_gas_T,float,32,32
DownholePump.prime_mover_type,str,Electric_motor,Electric_motor
Separation.prime_mover_type,str,Electric_motor,Electric_motor
GasReinjectionCompressor.prime_mover_type,str,Electric_motor,Electric_motor
GasDehydration.prime_mover_type,str,GAS_engine,GAS_engine
AcidGasRemoval.prime_mover_type,str,GAS_engine,GAS_engine
SourGasCompressor.prime_mover_type,str,Electric_motor,Electric_motor
WaterInjection.prime_mover_type,str,Electric_motor,Electric_motor
