analysis,field,node,CI
test-fields,Field 2,TOTAL,9.486489399778316
test-fields,Field 2,ExplorationAndDrilling,1.720012079389057
test-fields,Field 2,ProductionExtraction,6.856303917448917
test-fields,Field 2,SurfaceProcessing,0.6423380839079453
test-fields,Field 2,TransportAndStorage,0.0
test-fields,Field 2,LiquifiedNaturalGas,0.0
test-fields,Field 2,After,0.0
test-fields,Field 3,TOTAL,10.524364933654041
test-fields,Field 3,ExplorationAndDrilling,1.7201297366512118
test-fields,Field 3,ProductionExtraction,7.794445869510005
test-fields,Field 3,SurfaceProcessing,0.64167442570135
test-fields,Field 3,TransportAndStorage,0.0
test-fields,Field 3,LiquifiedNaturalGas,0.0
test-fields,Field 3,After,0.0
test-fields,Field 4,TOTAL,12.783307996463636
test-fields,Field 4,ExplorationAndDrilling,1.7200167123460368
test-fields,Field 4,ProductionExtraction,7.608519881729176
test-fields,Field 4,SurfaceProcessing,2.9041049533603878
test-fields,Field 4,TransportAndStorage,0.0
test-fields,Field 4,LiquifiedNaturalGas,0.0
test-fields,Field 4,After,0.0
test-fields,Field 5,TOTAL,17.274322048564045
test-fields,Field 5,ExplorationAndDrilling,1.7200843374709156
test-fields,Field 5,ProductionExtraction,9.578061271419736
test-fields,Field 5,SurfaceProcessing,4.9880822480106435
test-fields,Field 5,TransportAndStorage,0.0
test-fields,Field 5,LiquifiedNaturalGas,0.0
test-fields,Field 5,After,0.0
test-fields,Field 6,TOTAL,12.673848934401404
test-fields,Field 6,ExplorationAndDrilling,1.720006781050862
test-fields,Field 6,ProductionExtraction,8.709486570949768
test-fields,Field 6,SurfaceProcessing,1.514575537840154
test-fields,Field 6,TransportAndStorage,0.0
test-fields,Field 6,LiquifiedNaturalGas,0.0
test-fields,Field 6,After,0.0
test-fields,Field 7,TOTAL,9.308133933656721
test-fields,Field 7,ExplorationAndDrilling,1.7201883570694987
test-fields,Field 7,ProductionExtraction,6.702496503807505
test-fields,Field 7,SurfaceProcessing,0.6178395934301262
test-fields,Field 7,TransportAndStorage,0.0
test-fields,Field 7,LiquifiedNaturalGas,0.0
test-fields,Field 7,After,0.0
test-fields,Field 8,TOTAL,12.230989915913527
test-fields,Field 8,ExplorationAndDrilling,1.7200083963166337
test-fields,Field 8,ProductionExtraction,7.251846592844274
test-fields,Field 8,SurfaceProcessing,2.283458019054547
test-fields,Field 8,TransportAndStorage,0.0
test-fields,Field 8,LiquifiedNaturalGas,0.0
test-fields,Field 8,After,0.0
test-fields,Field 9,TOTAL,12.019836793488958
test-fields,Field 9,ExplorationAndDrilling,1.7204766950921175
test-fields,Field 9,ProductionExtraction,7.364830444395722
test-fields,Field 9,SurfaceProcessing,2.4053695674437305
test-fields,Field 9,TransportAndStorage,0.0
test-fields,Field 9,LiquifiedNaturalGas,0.0
test-fields,Field 9,After,0.0
test-fields,Field 10,TOTAL,10.166576733651583
test-fields,Field 10,ExplorationAndDrilling,1.720036587475742
test-fields,Field 10,ProductionExtraction,7.679810468347892
test-fields,Field 10,SurfaceProcessing,0.3329943161102088
test-fields,Field 10,TransportAndStorage,0.0
test-fields,Field 10,LiquifiedNaturalGas,0.0
test-fields,Field 10,After,0.0
test-fields,Field 11,TOTAL,60.74128854330149
test-fields,Field 11,ExplorationAndDrilling,1.7200674867811414
test-fields,Field 11,ProductionExtraction,51.71040549115104
test-fields,Field 11,SurfaceProcessing,6.09371988092077
test-fields,Field 11,TransportAndStorage,0.0
test-fields,Field 11,LiquifiedNaturalGas,0.0
test-fields,Field 11,After,0.0
