analysis,field,node,CI
test-fields,Field 1,TOTAL,86.10680490464307
test-fields,Field 1,ExplorationAndDrilling,1.7200319934197277
test-fields,Field 1,ProductionExtraction,60.169569133865416
test-fields,Field 1,SurfaceProcessing,17.67339141880541
test-fields,Field 1,TransportAndStorage,0.0
test-fields,Field 1,LiquifiedNaturalGas,0.0
test-fields,Field 1,After,0.0
test-fields,Field 1,CrudeOilDewatering,0.0
test-fields,Field 2,TOTAL,9.08609740750954
test-fields,Field 2,ExplorationAndDrilling,1.7200120309807647
test-fields,Field 2,ProductionExtraction,6.902469936091258
test-fields,Field 2,SurfaceProcessing,0.24859790904805484
test-fields,Field 2,TransportAndStorage,0.0
test-fields,Field 2,LiquifiedNaturalGas,0.0
test-fields,Field 2,After,0.0
test-fields,Field 2,CrudeOilDewatering,0.0
test-fields,Field 3,TOTAL,9.572592242819132
test-fields,Field 3,ExplorationAndDrilling,1.7201225255163053
test-fields,Field 3,ProductionExtraction,7.430002062502971
test-fields,Field 3,SurfaceProcessing,0.1729200814919489
test-fields,Field 3,TransportAndStorage,0.0
test-fields,Field 3,LiquifiedNaturalGas,0.0
test-fields,Field 3,After,0.0
test-fields,Field 3,CrudeOilDewatering,0.0
test-fields,Field 4,TOTAL,10.834686521193241
test-fields,Field 4,ExplorationAndDrilling,1.7200165161392937
test-fields,Field 4,ProductionExtraction,7.870710392271678
test-fields,Field 4,SurfaceProcessing,0.9165451752103358
test-fields,Field 4,TransportAndStorage,0.0
test-fields,Field 4,LiquifiedNaturalGas,0.0
test-fields,Field 4,After,0.0
test-fields,Field 4,CrudeOilDewatering,0.0
test-fields,Field 5,TOTAL,9.943982719614386
test-fields,Field 5,ExplorationAndDrilling,1.7200831235782734
test-fields,Field 5,ProductionExtraction,7.261042987616872
test-fields,Field 5,SurfaceProcessing,0.8082358239169803
test-fields,Field 5,TransportAndStorage,0.0
test-fields,Field 5,LiquifiedNaturalGas,0.0
test-fields,Field 5,After,0.0
test-fields,Field 5,CrudeOilDewatering,0.0
test-fields,Field 6,TOTAL,10.074057044039701
test-fields,Field 6,ExplorationAndDrilling,1.7200067213732042
test-fields,Field 6,ProductionExtraction,7.551441986231915
test-fields,Field 6,SurfaceProcessing,0.47609059819558214
test-fields,Field 6,TransportAndStorage,0.0
test-fields,Field 6,LiquifiedNaturalGas,0.0
test-fields,Field 6,After,0.0
test-fields,Field 6,CrudeOilDewatering,0.0
test-fields,Field 7,TOTAL,8.929278943830777
test-fields,Field 7,ExplorationAndDrilling,1.7201843205041871
test-fields,Field 7,ProductionExtraction,6.797888925633549
test-fields,Field 7,SurfaceProcessing,0.1938223590539429
test-fields,Field 7,TransportAndStorage,0.0
test-fields,Field 7,LiquifiedNaturalGas,0.0
test-fields,Field 7,After,0.0
test-fields,Field 7,CrudeOilDewatering,0.0
test-fields,Field 8,TOTAL,10.370598580456234
test-fields,Field 8,ExplorationAndDrilling,1.7200090909494306
test-fields,Field 8,ProductionExtraction,6.278316649382035
test-fields,Field 8,SurfaceProcessing,1.751440126430514
test-fields,Field 8,TransportAndStorage,0.0
test-fields,Field 8,LiquifiedNaturalGas,0.0
test-fields,Field 8,After,0.0
test-fields,Field 8,CrudeOilDewatering,0.0
test-fields,Field 9,TOTAL,10.18360600102356
test-fields,Field 9,ExplorationAndDrilling,1.7204720228136214
test-fields,Field 9,ProductionExtraction,7.374903848497082
test-fields,Field 9,SurfaceProcessing,0.7886648126628876
test-fields,Field 9,TransportAndStorage,0.0
test-fields,Field 9,LiquifiedNaturalGas,0.0
test-fields,Field 9,After,0.0
test-fields,Field 9,CrudeOilDewatering,0.0
test-fields,Field 10,TOTAL,8.571041494184973
test-fields,Field 10,ExplorationAndDrilling,1.7200365563617532
test-fields,Field 10,ProductionExtraction,6.578236441515738
test-fields,Field 10,SurfaceProcessing,0.12974189180139878
test-fields,Field 10,TransportAndStorage,0.0
test-fields,Field 10,LiquifiedNaturalGas,0.0
test-fields,Field 10,After,0.0
test-fields,Field 10,CrudeOilDewatering,0.0
test-fields,Field 11,TOTAL,55.953078405020705
test-fields,Field 11,ExplorationAndDrilling,1.7200634514725137
test-fields,Field 11,ProductionExtraction,51.7734805653324
test-fields,Field 11,SurfaceProcessing,1.791878710887897
test-fields,Field 11,TransportAndStorage,0.0
test-fields,Field 11,LiquifiedNaturalGas,0.0
test-fields,Field 11,After,0.0
test-fields,Field 11,CrudeOilDewatering,0.16352624402774762
test-fields,Field 12,TOTAL,10.02261716511277
test-fields,Field 12,ExplorationAndDrilling,1.7202971995543421
test-fields,Field 12,ProductionExtraction,7.68627110457555
test-fields,Field 12,SurfaceProcessing,0.21949787931589562
test-fields,Field 12,TransportAndStorage,0.0
test-fields,Field 12,LiquifiedNaturalGas,0.0
test-fields,Field 12,After,0.0
test-fields,Field 12,CrudeOilDewatering,0.0
test-fields,Field 13,TOTAL,8.409081012253148
test-fields,Field 13,ExplorationAndDrilling,1.720049700069888
test-fields,Field 13,ProductionExtraction,6.222054884819068
test-fields,Field 13,SurfaceProcessing,0.0014712082308802538
test-fields,Field 13,TransportAndStorage,0.0
test-fields,Field 13,LiquifiedNaturalGas,0.0
test-fields,Field 13,After,0.0
test-fields,Field 13,CrudeOilDewatering,0.16342651005099473
test-fields,Field 14,TOTAL,7.096133763009842
test-fields,Field 14,ExplorationAndDrilling,1.7200476387101136
test-fields,Field 14,ProductionExtraction,5.344554722511679
test-fields,Field 14,SurfaceProcessing,0.0014306226089824219
test-fields,Field 14,TransportAndStorage,0.0
test-fields,Field 14,LiquifiedNaturalGas,0.0
test-fields,Field 14,After,0.0
test-fields,Field 14,CrudeOilDewatering,0.0
test-fields,Field 15,TOTAL,12.631219441309604
test-fields,Field 15,ExplorationAndDrilling,1.7200357833032525
test-fields,Field 15,ProductionExtraction,9.42847667161689
test-fields,Field 15,SurfaceProcessing,0.8259974996577014
test-fields,Field 15,TransportAndStorage,0.0
test-fields,Field 15,LiquifiedNaturalGas,0.0
test-fields,Field 15,After,0.0
test-fields,Field 15,CrudeOilDewatering,0.0
test-fields,Field 16,TOTAL,9.44457158744927
test-fields,Field 16,ExplorationAndDrilling,1.7200731746263134
test-fields,Field 16,ProductionExtraction,7.03678706026415
test-fields,Field 16,SurfaceProcessing,0.47586618783440293
test-fields,Field 16,TransportAndStorage,0.0
test-fields,Field 16,LiquifiedNaturalGas,0.0
test-fields,Field 16,After,0.0
test-fields,Field 16,CrudeOilDewatering,0.0
test-fields,Field 17,TOTAL,37.47947267492976
test-fields,Field 17,ExplorationAndDrilling,1.7204993453726183
test-fields,Field 17,ProductionExtraction,24.010182641153786
test-fields,Field 17,SurfaceProcessing,9.757762021458909
test-fields,Field 17,TransportAndStorage,0.0
test-fields,Field 17,LiquifiedNaturalGas,0.0
test-fields,Field 17,After,0.0
test-fields,Field 17,CrudeOilDewatering,0.0
test-fields,Field 18,TOTAL,9.215865416272308
test-fields,Field 18,ExplorationAndDrilling,1.7200114237976962
test-fields,Field 18,ProductionExtraction,6.881697217180123
test-fields,Field 18,SurfaceProcessing,0.4172391463880974
test-fields,Field 18,TransportAndStorage,0.0
test-fields,Field 18,LiquifiedNaturalGas,0.0
test-fields,Field 18,After,0.0
test-fields,Field 18,CrudeOilDewatering,0.0
test-fields,Field 19,TOTAL,14.53994748243679
test-fields,Field 19,ExplorationAndDrilling,1.7200090982439509
test-fields,Field 19,ProductionExtraction,10.356106429829573
test-fields,Field 19,SurfaceProcessing,1.8102900388258638
test-fields,Field 19,TransportAndStorage,0.0
test-fields,Field 19,LiquifiedNaturalGas,0.0
test-fields,Field 19,After,0.0
test-fields,Field 19,CrudeOilDewatering,0.0
test-fields,Field 20,TOTAL,43.5469107534755
test-fields,Field 20,ExplorationAndDrilling,1.7200033122341352
