number,name
1,Crude oil in reservoir
2,Bitumen in mine
3,Crude oil at well bottom
4,Crude oil at wellhead
5,Bitumen from mine to upgrader
6,Bitumen from mine to dilution
7,Crude oil after separator
8,Crude oil to stabilizer
9,Crude oil to storage
10,Stabilized crude to storage
11,Upgraded crude to storage
12,Diluted bitumen to storage
13,Crude oil to transport
14,Transported crude oil at refinery
15,Petcoke export from upgrader
16,NGL/diluent to dilution
17,LPG to blend with crude oil
18,LPG to direct sales exports
19,Crude oil to upgrader
20,Crude oil to dilution
21,Reserved-21
22,Reserved-22
23,Reserved-23
24,Reserved-24
25,Gas in reservoir
26,Gas at well bottom
27,Gas at wellhead
28,Gas after separator
29,Gas to flare
30,Post-flare gas to vent
31,Post-vent gas to gathering
32,Stabilizer gas to gathering
33,VRU gas to gathering
34,Gathered gas to dehydrator
35,Dehydrated gas to CO2 EOR processing
36,Dehydrated gas to AGR
37,Gas to demethnizer
38,Demethanizer light product
39,Demethanizer  heavy product
40,Lifting gas to compressor
41,"Gas to consumption, sales, reinjection"
42,Lifting gas to wellbore
43,Gas to reinjection and export
44,Gas consumed
45,Gas exported
46,Gas to reinjection
47,Gas to reinjection wells
48,HC gas to reservoir
49,Gas to distribution
50,Gas to storage compressor
51,Gas to storage well
52,Gas to storage reservoir
53,Gas to storage separator
54,Gas to storage boosting compressor
55,Gas to distribution (from storage)
56,Gas to metering and regulation
57,Gas to distribution piping
58,Gas to customer meter
59,Gas to end use appliance or equipment
60,End use consumed gas
61,Gas to pre-membrane chiller
62,Gas to pre-membrane compressor
63,Gas to CO2 separation membrane
64,Hydrocarbon rich gas to AGR
65,CO2 rich stream from membrane
66,Gas to Ryan-Holmes process
67,Light HC stream from Ryan-Holmes
68,Heavy HC stream from Ryan-Holmes
69,CO2 stream from Ryan-Holmes
70,Gas to sour gas reinjection compressor
71,Sour gas to injection wells
72,Sour gas to reservoir
73,Tail gas CO2 to reinjection
74,Total CO2 to reinjection compressor
75,CO2 to injection wells
76,CO2 to reservoir
77,CO2 from offsite for gas flooding
78,Hydrocarbons from offsite for gas flooding
79,N2 from offiste for gas flooding
80,Gas to gas flooding injection wells
81,Storage vapors to flare
82,Strorage vapors to VRU
83,Process gas export from upgrader
84,Mine offgas to flare
85,Gas to liquefaction
86,Natural gas to transport
87,Natural gas from transport
88,LNG gas from regasification
89,Ethane to petrochemicals
90,Claus unit throughput
91,Recycled CO2 from CO2 flooding
92,Flood Gas to reservoir
93,Reserved-93
94,Reserved-94
95,Reserved-95
96,Reserved-96
97,Reserved-97
98,Reserved-98
99,Reserved-99
100,Water in reservoir
101,Water at well bottom
102,Water at wellhead
103,Water after separator
104,Makeup water to treatment
105,Treated makeup water to steam injection
106,Treated makeup water to reinjection well
107,Makeup water treatment waste
108,steam injection wells
109,waste water from blowdown
110,Steam injection into reservoir
111,Treated produced water to steam
112,Water from produced water treatment to surface disposal
113,Water from produced water treatment to reinjection
114,Produced water to sub-surface dispoal
115,Water from crude oil dewatering to produced water treatment
116,Water to water flooding injection wells
117,Gas to storage separator
118,blowdown recycled to treatement
119,Reserved-119
120,Reserved-120
121,Reserved-121
122,Reserved-122
123,Reserved-123
124,Reserved-124
125,Reserved-125
126,Reserved-126
127,Reserved-127
128,Reserved-128
129,Reserved-129
130,Reserved-130
131,Reserved-131
132,Reserved-132
133,Reserved-133
134,Reserved-134
135,Reserved-135
136,Reserved-136
137,Reserved-137
138,Reserved-138
139,Reserved-139
140,Reserved-140
141,Reserved-141
142,Reserved-142
143,Reserved-143
144,Reserved-144
145,Reserved-145
146,Reserved-146
147,Reserved-147
148,Reserved-148
149,Reserved-149
