name,year,age,WOR
16/1-12 (Rolvsnes),2021,1,0.749824524
16/1-12 (Rolvsnes),2022,2,1.244169938
24/9-12 S (Frosk),2019,1,0.003069298
24/9-12 S (Frosk),2020,2,0.235307866
24/9-12 S (Frosk),2021,3,0.646370881
24/9-12 S (Frosk),2022,4,1.079775588
33/9-6 DELTA,2009,1,1.038047731
33/9-6 DELTA,2010,2,1.800882049
33/9-6 DELTA,2011,3,0.390511529
33/9-6 DELTA,2012,4,0.289018639
33/9-6 DELTA,2013,5,0.16326062
33/9-6 DELTA,2014,6,0.007072136
7220/11-1 (Alta),2018,1,0.029519215
ALBUSKJELL,1979,1,0
ALBUSKJELL,1980,2,0
ALBUSKJELL,1981,3,0
ALBUSKJELL,1982,4,0
ALBUSKJELL,1983,5,0
ALBUSKJELL,1984,6,0
ALBUSKJELL,1985,7,0
ALBUSKJELL,1986,8,0
ALBUSKJELL,1987,9,0
ALBUSKJELL,1988,10,0
ALBUSKJELL,1989,11,0
ALBUSKJELL,1990,12,0
ALBUSKJELL,1991,13,0
ALBUSKJELL,1992,14,0
ALBUSKJELL,1993,15,0
ALBUSKJELL,1994,16,0
ALBUSKJELL,1995,17,0
ALBUSKJELL,1996,18,0
ALBUSKJELL,1997,19,0
ALBUSKJELL,1998,20,0
ALVE,2009,1,0.009696843
ALVE,2010,2,0.000434891
ALVE,2011,3,0.00573388
ALVE,2012,4,0.001059753
ALVE,2013,5,0.015613722
ALVE,2014,6,0.025537933
ALVE,2015,7,0.009253896
ALVE,2016,8,0.01012819
ALVE,2017,9,0.071440356
ALVE,2018,10,0.174183117
ALVE,2019,11,0.115088417
ALVE,2020,12,0.132827167
ALVE,2021,13,0.191580442
ALVE,2022,14,0.220500535
ALVHEIM,2008,1,0.000458438
ALVHEIM,2009,2,0.075585721
ALVHEIM,2010,3,0.073957385
ALVHEIM,2011,4,0.242109928
ALVHEIM,2012,5,0.524564427
ALVHEIM,2013,6,0.793799141
ALVHEIM,2014,7,1.221688088
ALVHEIM,2015,8,1.812888826
ALVHEIM,2016,9,1.336877504
ALVHEIM,2017,10,1.311741049
ALVHEIM,2018,11,1.781991316
ALVHEIM,2019,12,1.991972313
ALVHEIM,2020,13,2.592181174
ALVHEIM,2021,14,2.45919811
ALVHEIM,2022,15,2.443933052
ATLA,2012,1,0
ATLA,2013,2,0
ATLA,2014,3,0
ATLA,2015,4,0
ATLA,2016,5,0.180024991
ATLA,2017,6,0.007279814
ATLA,2018,7,0.024482433
ATLA,2019,8,0.071563736
ATLA,2020,9,
ATLA,2021,10,0.169965364
ATLA,2022,11,0.13362382
BALDER,1991,1,0
BALDER,1999,9,0.006699917
BALDER,2000,10,0.301545324
BALDER,2001,11,0.406243441
BALDER,2002,12,0.689904597
BALDER,2003,13,0.547747203
BALDER,2004,14,0.434513019
BALDER,2005,15,0.399740422
BALDER,2006,16,0.490019443
BALDER,2007,17,0.611064013
BALDER,2008,18,0.899808263
BALDER,2009,19,1.393369588
BALDER,2010,20,1.912274672
BALDER,2011,21,2.317331634
BALDER,2012,22,2.551062076
BALDER,2013,23,2.434422359
BALDER,2014,24,1.741075161
BALDER,2015,25,1.735578612
BALDER,2016,26,1.884512075
BALDER,2017,27,2.756002101
BALDER,2018,28,3.125184643
BALDER,2019,29,3.779097075
BALDER,2020,30,3.99854411
BALDER,2021,31,4.136420662
BALDER,2022,32,3.527299101
BLANE,2007,1,0.005284912
BLANE,2008,2,0.003220785
BLANE,2009,3,0.00308658
BLANE,2010,4,0.00343522
BLANE,2011,5,0.033884847
BLANE,2012,6,0.156957598
BLANE,2013,7,0.499480537
BLANE,2014,8,0.557434173
BLANE,2015,9,0.774379132
BLANE,2016,10,0.927727852
BLANE,2017,11,1.091259126
BLANE,2018,12,1.273957219
BLANE,2019,13,1.516085119
BLANE,2020,14,1.59452942
BLANE,2021,15,1.88963869
BLANE,2022,16,6.2
BRAGE,1993,1,0
BRAGE,1994,2,0
BRAGE,1995,3,0
BRAGE,1996,4,0
BRAGE,1997,5,0
BRAGE,1998,6,0
BRAGE,1999,7,0
BRAGE,2000,8,1.907831504
BRAGE,2001,9,2.775558687
BRAGE,2002,10,2.675882076
BRAGE,2003,11,3.713696346
