name,age,WOR
AFFLECK,1,0.038925438
AFFLECK,2,0.044955462
AFFLECK,3,0.035326604
AFFLECK,4,0.105398629
AFFLECK,5,0.10197996
AFFLECK,6,0.155647338
AFFLECK,7,0.089672795
AFFLECK,8,0.221842748
AIRTH COAL BED METHANE DEVT.,1,NaN
AIRTH COAL BED METHANE DEVT.,2,NaN
AIRTH COAL BED METHANE DEVT.,3,NaN
AIRTH COAL BED METHANE DEVT.,4,NaN
AIRTH COAL BED METHANE DEVT.,5,NaN
AIRTH COAL BED METHANE DEVT.,6,NaN
AIRTH COAL BED METHANE DEVT.,7,NaN
AIRTH COAL BED METHANE DEVT.,8,NaN
AIRTH COAL BED METHANE DEVT.,9,NaN
AIRTH COAL BED METHANE DEVT.,10,NaN
AIRTH COAL BED METHANE DEVT.,11,NaN
ALBA,1,0.131476126
ALBA,2,0.189882942
ALBA,3,0.388496037
ALBA,4,0.794288189
ALBA,5,1.104267786
ALBA,6,1.415529908
ALBA,7,1.270159241
ALBA,8,1.901305159
ALBA,9,2.6194393
ALBA,10,2.116718354
ALBA,11,2.74283953
ALBA,12,3.849719614
ALBA,13,4.908094501
ALBA,14,5.845494234
ALBA,15,6.597396065
ALBA,16,7.432144601
ALBA,17,9.071747229
ALBA,18,9.059144236
ALBA,19,9.636097864
ALBA,20,12.31362001
ALBA,21,13.37163016
ALBA,22,16.62780495
ALBA,23,15.83439438
ALBA,24,17.22994071
ALBA,25,17.43217424
ALBA,26,19.76207579
ALBA,27,21.39633585
ALBA,28,21.75500508
ALBA,29,21.2484909
ALBURY,1,NaN
ALBURY,2,NaN
ALBURY,3,NaN
ALBURY,4,NaN
ALBURY,5,NaN
ALBURY,6,NaN
ALBURY,7,NaN
ALBURY,8,NaN
ALBURY,9,NaN
ALBURY,10,NaN
ALBURY,11,NaN
ALBURY,12,NaN
ALBURY,13,NaN
ALBURY,14,NaN
ALBURY,15,NaN
ALBURY,16,NaN
ALBURY,17,NaN
ALBURY,18,NaN
ALBURY,19,NaN
ALBURY,20,NaN
ALBURY,21,NaN
ALBURY,22,NaN
ALBURY,23,NaN
ALBURY,24,NaN
ALBURY,25,NaN
ALBURY,26,NaN
ALBURY,27,NaN
ALBURY,28,NaN
ALBURY,29,NaN
ALDER,1,0.017997076
ALDER,2,0.005099337
ALDER,3,0.004765865
ALDER,4,0.003598454
ALDER,5,0.039455225
ALDER,6,0.217624512
ALDER,7,0.362098149
ALISON [CENTRICA],1,NaN
ALISON [CENTRICA],2,NaN
ALISON [CENTRICA],3,NaN
ALISON [CENTRICA],4,NaN
ALISON [CENTRICA],5,NaN
ALISON [CENTRICA],6,NaN
ALISON [CENTRICA],7,NaN
ALISON [CENTRICA],8,NaN
ALISON [CENTRICA],9,NaN
ALISON [CENTRICA],10,NaN
ALISON [CENTRICA],11,NaN
ALISON [CENTRICA],12,NaN
ALISON [CENTRICA],13,NaN
ALISON [CENTRICA],14,NaN
ALISON [CENTRICA],15,NaN
ALISON [CENTRICA],16,NaN
ALISON [CENTRICA],17,NaN
ALISON [CENTRICA],18,NaN
ALISON [CENTRICA],19,NaN
ALISON [CENTRICA],20,NaN
ALISON [CENTRICA],21,NaN
ALISON [CENTRICA],22,NaN
ALISON [CENTRICA],23,NaN
ALISON-KX [CONOCOPHILLIPS],1,NaN
ALISON-KX [CONOCOPHILLIPS],2,NaN
ALISON-KX [CONOCOPHILLIPS],3,NaN
ALISON-KX [CONOCOPHILLIPS],4,NaN
ALISON-KX [CONOCOPHILLIPS],5,NaN
ALISON-KX [CONOCOPHILLIPS],6,NaN
ALISON-KX [CONOCOPHILLIPS],7,NaN
ALISON-KX [CONOCOPHILLIPS],8,NaN
ALISON-KX [CONOCOPHILLIPS],9,NaN
ALISON-KX [CONOCOPHILLIPS],10,NaN
ALISON-KX [CONOCOPHILLIPS],11,NaN
ALISON-KX [CONOCOPHILLIPS],12,NaN
ALISON-KX [CONOCOPHILLIPS],13,NaN
ALISON-KX [CONOCOPHILLIPS],14,NaN
ALISON-KX [CONOCOPHILLIPS],15,NaN
ALISON-KX [CONOCOPHILLIPS],16,NaN
ALISON-KX [CONOCOPHILLIPS],17,NaN
ALISON-KX [CONOCOPHILLIPS],18,NaN
ALISON-KX [CONOCOPHILLIPS],19,NaN
ALISON-KX [CONOCOPHILLIPS],20,NaN
ALISON-KX [CONOCOPHILLIPS],21,NaN
ALISON-KX [CONOCOPHILLIPS],22,NaN
ALISON-KX [CONOCOPHILLIPS],23,NaN
ALISON-KX [CONOCOPHILLIPS],24,NaN
ALLIGIN,1,0
ALLIGIN,2,0.023211967
ALLIGIN,3,0.264650555
ALLIGIN,4,0.29530021
ALMA,1,0.234599915
ALMA,2,1.514765357
ALMA,3,4.128848123
ALMA,4,7.368333491
ALMA,5,11.8844874
ALMA,6,13.8268611
ALWYN NORTH,1,0
ALWYN NORTH,2,0.000808728
ALWYN NORTH,3,0.00918312
ALWYN NORTH,4,0.053054518
ALWYN NORTH,5,0.131279301
ALWYN NORTH,6,0.512239539
ALWYN NORTH,7,0.942140171
ALWYN NORTH,8,1.82307805
ALWYN NORTH,9,2.748250703
ALWYN NORTH,10,3.994319008
ALWYN NORTH,11,4.072576185
ALWYN NORTH,12,2.365399152
ALWYN NORTH,13,1.9372891
ALWYN NORTH,14,2.092463156
ALWYN NORTH,15,3.252892164
ALWYN NORTH,16,3.747349874
ALWYN NORTH,17,7.277928658
ALWYN NORTH,18,7.197435297
ALWYN NORTH,19,3.140785407
ALWYN NORTH,20,4.447183344
ALWYN NORTH,21,3.698779681
ALWYN NORTH,22,1.835322331
ALWYN NORTH,23,1.18475697
ALWYN NORTH,24,1.353460014
ALWYN NORTH,25,0.935683492
ALWYN NORTH,26,0.835993518
ALWYN NORTH,27,1.708754059
ALWYN NORTH,28,2.097359557
ALWYN NORTH,29,2.875841031
ALWYN NORTH,30,3.403365772
ALWYN NORTH,31,3.231615925
ALWYN NORTH,32,2.819290932
ALWYN NORTH,33,1.35973361
ALWYN NORTH,34,2.314492965
ALWYN NORTH,35,3.068731715
ALWYN NORTH,36,2.799316672
AMETHYST EAST,1,NaN
AMETHYST EAST,2,NaN
AMETHYST EAST,3,NaN
AMETHYST EAST,4,NaN
AMETHYST EAST,5,NaN
AMETHYST EAST,6,NaN
AMETHYST EAST,7,NaN
AMETHYST EAST,8,NaN
AMETHYST EAST,9,NaN
AMETHYST EAST,10,NaN
AMETHYST EAST,11,NaN
AMETHYST EAST,12,NaN
AMETHYST EAST,13,NaN
AMETHYST EAST,14,NaN
AMETHYST EAST,15,NaN
AMETHYST EAST,16,NaN
AMETHYST EAST,17,NaN
AMETHYST EAST,18,NaN
AMETHYST EAST,19,NaN
AMETHYST EAST,20,NaN
AMETHYST EAST,21,NaN
AMETHYST EAST,22,NaN
AMETHYST EAST,23,NaN
AMETHYST EAST,24,NaN
AMETHYST EAST,25,NaN
AMETHYST EAST,26,NaN
AMETHYST EAST,27,NaN
AMETHYST EAST,28,NaN
AMETHYST EAST,29,NaN
AMETHYST EAST,30,NaN
AMETHYST EAST,31,NaN
AMETHYST WEST,1,NaN
AMETHYST WEST,2,NaN
AMETHYST WEST,3,NaN
AMETHYST WEST,4,NaN
AMETHYST WEST,5,NaN
AMETHYST WEST,6,NaN
AMETHYST WEST,7,NaN
AMETHYST WEST,8,NaN
AMETHYST WEST,9,NaN
AMETHYST WEST,10,NaN
AMETHYST WEST,11,NaN
AMETHYST WEST,12,NaN
AMETHYST WEST,13,NaN
AMETHYST WEST,14,NaN
AMETHYST WEST,15,NaN
AMETHYST WEST,16,NaN
AMETHYST WEST,17,NaN
AMETHYST WEST,18,NaN
AMETHYST WEST,19,NaN
AMETHYST WEST,20,NaN
AMETHYST WEST,21,NaN
AMETHYST WEST,22,NaN
AMETHYST WEST,23,NaN
AMETHYST WEST,24,NaN
AMETHYST WEST,25,NaN
AMETHYST WEST,26,NaN
AMETHYST WEST,27,NaN
AMETHYST WEST,28,NaN
AMETHYST WEST,29,NaN
AMETHYST WEST,30,NaN
ANDREW,1,0.001940623
ANDREW,2,0.016690638
ANDREW,3,0.102615067
ANDREW,4,0.286997612
ANDREW,5,0.810095405
ANDREW,6,1.245456089
ANDREW,7,1.891455633
ANDREW,8,2.963077217
ANDREW,9,3.703758
ANDREW,10,4.532413809
ANDREW,11,6.718119598
ANDREW,12,6.061238522
ANDREW,13,5.879966823
ANDREW,14,6.813292636
ANDREW,15,10.05743121
ANDREW,16,10.63037767
ANDREW,17,0
ANDREW,18,NaN
ANDREW,19,4.567715144
ANDREW,20,7.426815238
ANDREW,21,16.43223993
ANDREW,22,15.75763422
ANDREW,23,14.36505799
ANDREW,24,13.54673189
ANDREW,25,15.67671882
ANDREW,26,15.97084776
ANDREW,27,14.52947385
ANGLIA,1,NaN
ANGLIA,2,NaN
ANGLIA,3,NaN
ANGLIA,4,NaN
ANGLIA,5,NaN
ANGLIA,6,NaN
ANGLIA,7,NaN
ANGLIA,8,NaN
ANGLIA,9,NaN
ANGLIA,10,NaN
ANGLIA,11,NaN
ANGLIA,12,NaN
ANGLIA,13,NaN
ANGLIA,14,NaN
ANGLIA,15,NaN
ANGLIA,16,NaN
ANGLIA,17,NaN
ANGLIA,18,NaN
ANGLIA,19,NaN
ANGLIA,20,NaN
ANGLIA,21,NaN
ANGLIA,22,NaN
ANGLIA,23,NaN
ANGLIA,24,NaN
ANGLIA,25,NaN
ANGUS,1,0
ANGUS,2,0.164746492
ANGUS,3,0.653407071
ANGUS,4,NaN
ANGUS,5,NaN
ANGUS,6,NaN
ANGUS,7,NaN
ANGUS,8,NaN
ANGUS,9,NaN
ANGUS,10,NaN
ANGUS,11,0.174790445
ANGUS,12,0.288965156
ANGUS,13,0.807334158
ANGUS,14,1.112553652
ANGUS,15,1.680591003
ANGUS,16,1.62785239
ANGUS,17,NaN
ANGUS,18,NaN
ANN,1,NaN
ANN,2,NaN
ANN,3,NaN
ANN,4,NaN
ANN,5,NaN
ANN,6,NaN
ANN,7,NaN
ANN,8,NaN
ANN,9,NaN
ANN,10,NaN
ANN,11,NaN
ANN,12,NaN
ANN,13,NaN
ANN,14,NaN
ANN,15,NaN
ANN,16,NaN
ANN,17,NaN
ANN,18,NaN
ANN,19,NaN
ANN,20,NaN
ANN,21,NaN
ANN,22,NaN
ANN,23,NaN
ANN,24,NaN
APOLLO,1,NaN
APOLLO,2,NaN
APOLLO,3,NaN
APOLLO,4,NaN
APOLLO,5,NaN
APOLLO,6,NaN
APOLLO,7,NaN
APOLLO,8,NaN
APOLLO,9,NaN
APOLLO,10,NaN
APOLLO,11,NaN
APOLLO,12,NaN
APOLLO,13,NaN
APOLLO,14,NaN
APOLLO,15,NaN
APOLLO,16,NaN
APOLLO,17,NaN
APOLLO,18,NaN
APOLLO,19,NaN
APOLLO,20,NaN
ARBROATH,1,7.41E-06
ARBROATH,2,0.002203799
ARBROATH,3,0.01252305
ARBROATH,4,0.031374033
ARBROATH,5,0.081200953
ARBROATH,6,0.176704986
ARBROATH,7,0.32340469
ARBROATH,8,0.498931864
ARBROATH,9,0.603476253
ARBROATH,10,0.610544314
ARBROATH,11,0.782430755
ARBROATH,12,0.596861955
ARBROATH,13,0.568908398
ARBROATH,14,0.750318323
ARBROATH,15,0.82543449
ARBROATH,16,0.967190102
ARBROATH,17,1.195005434
ARBROATH,18,1.146429999
ARBROATH,19,1.312319415
ARBROATH,20,1.26813824
ARBROATH,21,1.819882421
ARBROATH,22,2.049388305
ARBROATH,23,2.337776062
ARBROATH,24,2.224048721
ARBROATH,25,NaN
ARBROATH,26,1.940476048
ARBROATH,27,2.008730188
ARBROATH,28,2.828523155
ARBROATH,29,4.06282412
ARBROATH,30,4.537395711
ARBROATH,31,4.591406591
ARBROATH,32,6.417907187
ARBROATH,33,5.798785378
ARDMORE,1,0.321758755
ARDMORE,2,2.109687367
ARDMORE,3,1.619403746
ARGYLL,1,0
ARGYLL,2,0.009885687
ARGYLL,3,0.240407808
ARGYLL,4,0.259398763
ARGYLL,5,0.126804645
ARGYLL,6,0.097063346
ARGYLL,7,0.359907995
ARGYLL,8,0.518650817
ARGYLL,9,0.918892301
ARGYLL,10,1.416204793
ARGYLL,11,1.149598817
ARGYLL,12,0.845281008
ARGYLL,13,1.281445184
ARGYLL,14,1.407917594
ARGYLL,15,1.757976943
ARGYLL,16,1.886395106
ARGYLL,17,2.195025676
ARGYLL,18,2.225488343
ARKWRIGHT,1,0
ARKWRIGHT,2,0.001375368
ARKWRIGHT,3,0.025315784
ARKWRIGHT,4,0.056975231
ARKWRIGHT,5,0.066811006
ARKWRIGHT,6,0.109630874
ARKWRIGHT,7,0.084498277
ARKWRIGHT,8,0.119177399
ARKWRIGHT,9,0.333428773
ARKWRIGHT,10,0.194131029
ARKWRIGHT,11,0.329407812
ARKWRIGHT,12,0.133870046
ARKWRIGHT,13,0.127907776
ARKWRIGHT,14,0.303866393
ARKWRIGHT,15,0.586876777
ARKWRIGHT,16,0.725432472
ARKWRIGHT,17,NaN
ARKWRIGHT,18,NaN
ARKWRIGHT,19,NaN
ARKWRIGHT,20,1.532744692
ARKWRIGHT,21,1.656431051
ARKWRIGHT,22,2.346680425
ARKWRIGHT,23,2.116095862
ARKWRIGHT,24,3.385197357
ARKWRIGHT,25,3.677401607
ARKWRIGHT,26,4.093733674
ARKWRIGHT,27,3.661780543
ARRAN,1,0.028159964
ARRAN,2,0.035395601
ARTHUR,1,NaN
ARTHUR,2,NaN
ARTHUR,3,NaN
ARTHUR,4,NaN
ARTHUR,5,NaN
ARTHUR,6,NaN
ARTHUR,7,NaN
ARTHUR,8,NaN
ARTHUR,9,NaN
ARTHUR,10,NaN
ARTHUR,11,NaN
ARTHUR,12,NaN
ARTHUR,13,NaN
ARUNDEL,1,0.007829605
ARUNDEL,2,0.083591712
ARUNDEL,3,0.430155635
ARUNDEL,4,1.016765727
ARUNDEL,5,1.642083515
ARUNDEL,6,2.06445297
ASKERN COAL MINE VENT,1,NaN
ASKERN COAL MINE VENT,2,NaN
ASKERN COAL MINE VENT,3,NaN
ASKERN COAL MINE VENT,4,NaN
ATHENA,1,0.002488504
ATHENA,2,0.030455775
ATHENA,3,0.168857663
ATHENA,4,0.816824925
ATHENA,5,0.839029217
ATLANTIC,1,0
ATLANTIC,2,0
ATLANTIC,3,0
ATLANTIC,4,0
ATLANTIC,5,NaN
ATLANTIC,6,NaN
ATLANTIC,7,NaN
AUDREY,1,NaN
AUDREY,2,NaN
AUDREY,3,NaN
AUDREY,4,NaN
AUDREY,5,NaN
AUDREY,6,NaN
AUDREY,7,NaN
AUDREY,8,NaN
AUDREY,9,NaN
AUDREY,10,NaN
AUDREY,11,NaN
AUDREY,12,NaN
AUDREY,13,NaN
AUDREY,14,NaN
AUDREY,15,NaN
AUDREY,16,NaN
AUDREY,17,NaN
AUDREY,18,NaN
AUDREY,19,NaN
AUDREY,20,NaN
AUDREY,21,NaN
AUDREY,22,NaN
AUDREY,23,NaN
AUDREY,24,NaN
AUDREY,25,NaN
AUDREY,26,NaN
AUDREY,27,NaN
AUDREY,28,NaN
AUDREY,29,NaN
AUDREY,30,NaN
AUK,1,0.033206818
AUK,2,0.139444252
AUK,3,0.600557245
