name,value,unit
std-temperature,60.0,degF
std-pressure,14.7,psia
amb-temperature,60.0,degF
amb-pressure,14.676,psia
amb-air-density,0.001225,kg/m**3
water-FVF,1,dimensionless
gravitational-constant, 32.2, (lb*ft)/(lbf*s**2)
gravitational-acceleration, 9.8, m/second**2
universal-gas-constants, 8.31446261815324, joule/mol/kelvin
mol-per-scf, 1.1953, mol/scf
NG-heating-value, 935.5, btu/scf
petrocoke-heating-value, 26949429, btu/tonne
residual-oil-LHV, 140352.522201194, btu/gal
residual-oil-density, 3752, g/gal
diesel-LHV, 128450, btu/gal
