,Reboiler,Reboiler,Reboiler,Demeth tray,Demeth tray,HEX,Turbo,NGL C1,NGL C2,NGL C3,NGL C4,fuel gas C1,fuel gas C2,fuel gas C3,fuel gas C4,fuel gas pressure
,Stream 80,Stream 81,Stream 82,Demeth tray 6 coeff,Demeth tray 9 coeff,HEX coeff,Turbo  exp coeff,NGL prod C1 coeff,NGL prod C2 coeff,NGL prod C3 coeff,NGL prod C4 coeff,fuel gas C1 coeff,fuel gas C2 coeff,fuel gas C3 coeff,fuel gas C4 coeff,Fuel gas pressure
intercept,3040,2281.7,2281.8,2281.7,2281.8,18675,1321.8,0.10385,2.4151,-0.99254,-0.52637,0.16161,0.048098,0.024368,0.0012388,20.04
x1,-1.6491,-1.2321,-1.2322,-1.2321,-1.2322,-13.988,3.0238,-3.27E-07,0.00015784,-0.000046018,-0.0001115,-0.000061078,0.000092506,-0.000064382,-6.33E-06,0.32761
x2,10.82,8.0949,8.0943,8.0949,8.0943,5.4326,-6.2315,6.89E-06,0.00005343,-0.00011677,0.000056454,0.000070045,-0.00014356,0.000096692,9.74E-06,1.0132
x3,-3634.4,-2696.2,-2697.5,-2696.2,-2697.5,3173.9,-801.13,-1.02,1.7481,-0.43656,-0.29147,-0.017175,-0.039236,-0.0068875,0.0060332,-36.681
x4,-2217.7,-1667.4,-1667.4,-1667.4,-1667.4,-6456.4,-2061.9,-0.29196,-8.2301,5.562,2.96,1.4081,-0.20196,-0.0036292,0.00106,-346.41
x5,-11896,-8911.7,-8912.2,-8911.7,-8912.2,1256.5,707.4,-0.11752,-0.68052,0.54707,0.25097,0.065258,0.60702,-0.049817,-0.0023487,251.76
x1*x2,0.0013251,0.00096238,0.00096238,0.00096238,0.00096238,-0.0018874,0.0045678,7.06E-09,2.13E-07,-5.50E-08,-1.65E-07,7.31E-08,-2.46E-08,-4.49E-08,-8.31E-09,0.00041823
x1*x3,-0.90503,-0.69108,-0.69244,-0.69108,-0.69244,0.36933,-0.77275,0.00015093,-0.00025323,0.000064654,0.000037651,-0.000036002,0.000032649,-1.99E-07,-2.49E-06,0.10513
x1*x4,2.2833,1.6992,1.6992,1.6992,1.6992,15.15,0.66722,0.000015687,0.00051965,-0.00030702,-0.00022832,0.00030202,-0.00029889,0.000026237,2.11E-06,0.10416
x1*x5,5.4813,4.098,4.0982,4.098,4.0982,26.3,-5.7607,-0.000016067,-0.00053546,0.0001897,0.00036182,0.00065248,-0.00074812,0.000077176,8.14E-06,-0.55837
x2*x3,1.8264,1.422,1.4286,1.422,1.4286,-0.26207,-0.0261,-0.00011905,0.00025375,-0.000055468,-0.000079236,0.00010598,-0.000093155,-0.000023385,3.51E-07,-0.0031448
x2*x4,-11.783,-8.8152,-8.8145,-8.8152,-8.8145,-0.96622,-4.7868,-0.000019564,-0.00058866,0.00036507,0.00024316,-0.00024415,0.00027851,-0.000061088,-5.78E-06,-0.078774
x2*x5,-4.218,-3.1422,-3.1425,-3.1422,-3.1425,-5.1768,3.0886,0.000018937,0.00058831,-0.0001625,-0.00044474,-0.00037982,0.00051241,-0.0001216,-0.000014286,-0.10932
x3*x4,4562.7,3436.4,3434.4,3436.4,3434.4,-1556.6,585.7,1.5397,-2.1119,0.32772,0.24441,0.03384,0.042276,0.0085474,-0.00045936,-22.98
x3*x5,-10998,-8239.3,-8237.1,-8239.3,-8237.1,2012.9,-557.41,3.1963,-3.1547,0.028457,-0.07008,0.078495,-0.12181,-0.017218,-0.0061714,202.66
x4*x5,5735.8,4305.9,4306.2,4305.9,4306.2,-27828,3386.5,0.25236,8.5489,-5.6682,-3.1331,-0.64659,0.43286,-0.011439,-0.0031017,267.24
x1**2,0.0001581,0.00013018,0.00013024,0.00013018,0.00013024,0.0015605,-0.002796,-7.49E-09,-2.49E-07,1.16E-07,1.41E-07,-1.07E-07,8.52E-08,2.67E-08,3.64E-09,-0.00030042
x2**2,-0.0019604,-0.0014336,-0.001434,-0.0014336,-0.001434,-0.0016456,0.0047881,-5.76E-10,2.35E-08,-4.46E-08,2.16E-08,1.45E-08,-4.06E-08,2.01E-08,6.93E-09,-0.00048657
x3**2,151.16,-763.21,-732.12,-763.21,-732.12,-39296,16903,-0.37238,-1.2902,0.71677,0.94582,-0.3269,0.23735,0.15576,-0.054451,-753.21
x4**2,-1223.9,-913.87,-913.93,-913.87,-913.93,-13849,2704.7,0.18522,6.2296,-4.2241,-2.1907,-0.67523,0.24265,-0.0079102,-0.0010088,249.78
x5**2,12282,9168.4,9169.1,9168.4,9169.1,5697.7,-2937,-0.14961,-5.0135,3.2434,1.9197,0.58058,-0.54858,0.051816,0.0041714,-320.49
