Gas,N2,O2,CO2,H2O
,frac,frac,frac,frac
N2,1.0000000,0.0000000,0.0000000,0.0000000
O2,0.0000000,1.0000000,0.0000000,0.0000000
CO2,0.0000000,0.0000000,1.0000000,0.0000000
H2O,0.0000000,0.0000000,0.0000000,1.0000000
C1,7.5436754,0.0000000,1.0028640,2.1948273
C2,13.2014320,0.0000000,2.0050119,3.3409478
C3,18.8591885,0.0000000,3.0071599,4.4870683
C4,24.5169451,0.0000000,4.0093079,5.6331888
CO,1.8859189,0.0000000,1.0007160,0.0487068
H2,1.8859189,0.0000000,0.0007160,1.0487068
H2S,5.6577566,0.0000000,0.0021480,1.1461205
SO2,0.0000000,0.0000000,0.0000000,0.0000000
