Gas,N2,O2,CO2,H2O
,frac,frac,frac,frac
N2,0.00000000,0.00000000,0.00000000,0.00000000
O2,0.00000000,0.00000000,0.00000000,0.00000000
CO2,0.00000000,0.00000000,0.00000000,0.00000000
H2O,0.00000000,0.00000000,0.00000000,0.00000000
C1,7.54367542,2.00000000,0.00286396,0.19482733
C2,13.20143198,3.50000000,0.00501193,0.34094783
C3,18.85918854,5.00000000,0.00715990,0.48706834
C4,24.51694511,6.50000000,0.00930788,0.63318884
CO,1.88591885,0.50000000,0.00071599,0.04870683
H2,1.88591885,0.50000000,0.00071599,0.04870683
H2S,5.65775656,1.50000000,0.00214797,0.14612050
SO2,0.00000000,0.00000000,0.00000000,0.00000000
