# units,psig,bbl/d,mmscf/d,mmscf/d,mmscf/d,mmscf/d,lb
size,working_press,liquid_capacity,gas_capacity_720,gas_capacity_1000,gas_capacity_1200,gas_capacity_1440,weight
"24"" OD x 10'",720,780,11.5,,,,1692
"36"" OD x 10'",720,1770,26.3,,,,4031
"42"" OD x 10'",720,2420,34.9,,,,5570
"48"" OD x 10'",720,3170,43.5,,,,7730
"24"" OD x 10'",1000,750,10.9,14.2,,,2485
"36"" OD x 10'",1000,1750,25.3,33,,,5555
"42"" OD x 10'",1000,2420,33.6,43.8,,,7441
"48"" OD x 10'",1000,3170,42.1,54.8,,,9773
"24"" OD x 10'",1200,740,10.8,14,15.4,,2884
"36"" OD x 10'",1200,1690,25.2,32.8,36.1,,6464
"42"" OD x 10'",1200,2270,32.7,42.6,46.8,,9184
"48"" OD x 10'",1200,2990,41.2,53.6,58.9,,11964
"24"" OD x 10'",1440,720,10.6,13.7,15.1,16.4,3215
"36"" OD x 10'",1440,1630,23.5,30.6,33.7,34.2,7695
"42"" OD x 10'",1440,2230,32.1,41.7,45.9,49.8,10650
"48"" OD x 10'",1440,2910,40,52.2,57.2,62,14375
