analysis,field,node,CI
test-fields,Field 2,ExplorationAndDrilling,1.2619090484213455
test-fields,Field 2,ProductionExtraction,4.55935989108083
test-fields,Field 2,SurfaceProcessing,0.0
test-fields,Field 2,TransportAndStorage,0.0
test-fields,Field 2,LiquifiedNaturalGas,0.0
test-fields,Field 2,After,0.0
test-fields,Field 2,ProductionBoundary,0.0
test-fields,Field 2,TransportationBoundary,0.0
test-fields,Field 2,DistributionBoundary,0.0
test-fields,Field 3,ExplorationAndDrilling,1.2890448218114885
test-fields,Field 3,ProductionExtraction,1.5939113768450939
test-fields,Field 3,SurfaceProcessing,0.0
test-fields,Field 3,TransportAndStorage,0.0
test-fields,Field 3,LiquifiedNaturalGas,0.0
test-fields,Field 3,After,0.0
test-fields,Field 3,ProductionBoundary,0.0
test-fields,Field 3,TransportationBoundary,0.0
test-fields,Field 3,DistributionBoundary,0.0
test-fields,Field 4,ExplorationAndDrilling,1.2619158935976795
test-fields,Field 4,ProductionExtraction,5.387125557986899
test-fields,Field 4,SurfaceProcessing,0.0
test-fields,Field 4,TransportAndStorage,0.0
test-fields,Field 4,LiquifiedNaturalGas,0.0
test-fields,Field 4,After,0.0
test-fields,Field 4,ProductionBoundary,0.0
test-fields,Field 4,TransportationBoundary,0.0
test-fields,Field 4,DistributionBoundary,0.0
test-fields,Field 5,ExplorationAndDrilling,1.232932567164339
test-fields,Field 5,ProductionExtraction,5.201566037381009
test-fields,Field 5,SurfaceProcessing,0.0
test-fields,Field 5,TransportAndStorage,0.0
test-fields,Field 5,LiquifiedNaturalGas,0.0
test-fields,Field 5,After,0.0
test-fields,Field 5,ProductionBoundary,0.0
test-fields,Field 5,TransportationBoundary,0.0
test-fields,Field 5,DistributionBoundary,0.0
test-fields,Field 6,ExplorationAndDrilling,1.2550024840872263
test-fields,Field 6,ProductionExtraction,6.336937317886212
test-fields,Field 6,SurfaceProcessing,0.0
test-fields,Field 6,TransportAndStorage,0.0
test-fields,Field 6,LiquifiedNaturalGas,0.0
test-fields,Field 6,After,0.0
test-fields,Field 6,ProductionBoundary,0.0
test-fields,Field 6,TransportationBoundary,0.0
test-fields,Field 6,DistributionBoundary,0.0
test-fields,Field 7,ExplorationAndDrilling,1.2986493876724168
test-fields,Field 7,ProductionExtraction,2.956694202626337
test-fields,Field 7,SurfaceProcessing,0.0
test-fields,Field 7,TransportAndStorage,0.0
test-fields,Field 7,LiquifiedNaturalGas,0.0
test-fields,Field 7,After,0.0
test-fields,Field 7,ProductionBoundary,0.0
test-fields,Field 7,TransportationBoundary,0.0
test-fields,Field 7,DistributionBoundary,0.0
test-fields,Field 8,ExplorationAndDrilling,1.2699063519643212
test-fields,Field 8,ProductionExtraction,5.255218260930273
test-fields,Field 8,SurfaceProcessing,2.115733776486499
test-fields,Field 8,TransportAndStorage,0.0
test-fields,Field 8,LiquifiedNaturalGas,0.0
test-fields,Field 8,After,0.0
test-fields,Field 8,ProductionBoundary,0.0
test-fields,Field 8,TransportationBoundary,0.0
test-fields,Field 8,DistributionBoundary,0.0
test-fields,Field 9,ExplorationAndDrilling,1.2706685958854913
test-fields,Field 9,ProductionExtraction,4.146382358473491
test-fields,Field 9,SurfaceProcessing,0.0
test-fields,Field 9,TransportAndStorage,0.0
test-fields,Field 9,LiquifiedNaturalGas,0.0
test-fields,Field 9,After,0.0
test-fields,Field 9,ProductionBoundary,0.0
test-fields,Field 9,TransportationBoundary,0.0
test-fields,Field 9,DistributionBoundary,0.0
test-fields,Field 10,ExplorationAndDrilling,1.2559172622504196
test-fields,Field 10,ProductionExtraction,4.056687565566116
test-fields,Field 10,SurfaceProcessing,0.0
test-fields,Field 10,TransportAndStorage,0.0
test-fields,Field 10,LiquifiedNaturalGas,0.0
test-fields,Field 10,After,0.0
test-fields,Field 10,ProductionBoundary,0.0
test-fields,Field 10,TransportationBoundary,0.0
test-fields,Field 10,DistributionBoundary,0.0
test-fields,Field 11,ExplorationAndDrilling,1.3034628941309758
